Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Kyle Zimmer","KCR",1,1,18,1,0,0,2,2,0,0,0,0,0,1,1,1,0.8790553212165833,14169
"Total","Dario Alvarez","TEX",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14239
"Total","Wandy Peralta","CIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14295
"Total","Frankie Montas","CHW",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14309
"Total","Jake Thompson","PHI",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14371
"Total","Yohander Mendez","TEX",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14391
"Total","Robinson Leyer","BOS",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14399
"Total","Yunior Marte","PHI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14416
"Total","Jose Leclerc","TEX",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14524
"Total","Jose Ruiz","CHW",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14552
"Total","Rowan Wick","CHC",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14646
"Total","Chi Chi Gonzalez","COL",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14663
"Total","Jandel Gustave","MIL",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14665
"Total","Andres Machado","WSN",1,1,27.00000027,1,0,0,1,1,0,0,0,0,0,1,1,1,0.8790553212165833,14681
"Total","Jose Manuel Fernandez","TOR",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14733
"Total","Emilio Pagan","OAK",1,1,9,1,0,0,1,1,1,0,0,0,0,1,1,4,2.0308284759521484,14771
"Total","Buck Farmer","2 Tms",2,2,27.00000027,1,0,0,1,1,0,0,0,0,1,0.5,0.5,0.5,0.4395276606082916,14814
"Total","Michael Lorenzen","CIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14843
"Total","Joe Mantiply","ARI",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14857
"Total","Taylor Williams","MIL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14899
"Total","Tyler Webb","MIL",1,1,9,1,0,0,1,1,1,0,0,0,0,1,1,4,1.9798855781555176,14974
"Total","Yacksel Rios","PIT",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15007
"Total","Kyle Finnegan","WSN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15009
"Total","Victor Alcantara","DET",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15028
"Total","Tim Mayza","TOR",1,2,54.00000054,1,0,0,2,2,0,0,0,0,0,1,0.5,1,0.44192540645599365,15042
"Total","Lou Trivino","OAK",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15043
"Total","Austin Voth","WSN",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15047
"Total","Silvino Bracho","ARI",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15051
"Total","Yency Almonte","2 Tms",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15068
"Total","Hunter Wood","CLE",1,2,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0.779950886964798,15091
"Total","Ben Heller","NYY",1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1.2381021976470947,15100
"Total","Luke Farrell","CHC",1,2,27.00000027,1,0,0,1,1,0,0,0,0,0,0.5,0.5,0.5,0.44192540645599365,15101
"Total","Kevin McCarthy","KCR",1,2,54.00000054,1,0,0,2,2,0,0,0,0,0,0.5,0.5,0.5,0.4383344054222107,15240
"Total","Shane Carle","ATL",1,2,0,1,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0.4397653639316559,15258
"Total","Keynan Middleton","CHW",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15264
"Total","Adam Cimber","TOR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15288
"Total","Austin Pruitt","TBR",1,1,54.00000054,1,0,0,2,2,0,0,0,0,0,1,1,1,0.8766688108444214,15290
"Total","Donnie Hart","BAL",1,2,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.43922707438468933,15306
"Total","Mike Mayers","STL",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15451
"Total","Lucas Giolito","WSN",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15474
